,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,county,car_count
6076,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Carlow,0
6077,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Cavan,0
6078,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Clare,0
6079,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Donegal,0
6080,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Galway,0
6081,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Kerry,0
6082,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Kildare,0
6083,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Kilkenny,0
6084,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Laois,0
6085,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Leitrim,0
6086,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Longford,0
6087,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Louth,0
6088,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Mayo,0
6089,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Meath,0
6090,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Monaghan,0
6091,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Offaly,0
6092,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Roscommon,0
6093,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Sligo,0
6094,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Westmeath,0
6095,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Wexford,0
6096,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Wicklow,0
6097,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Limerick,0
6098,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Waterford,0
6099,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Tipperary,0
6100,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Cork,0
6101,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daewoo,All bands,Dublin,0
6103,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Carlow,0
6104,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Cavan,0
6105,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Clare,0
6106,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Donegal,0
6107,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Galway,0
6108,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Kerry,0
6109,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Kildare,0
6110,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Kilkenny,0
6111,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Laois,0
6112,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Leitrim,0
6113,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Longford,0
6114,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Louth,0
6115,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Mayo,0
6116,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Meath,0
6117,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Monaghan,0
6118,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Offaly,0
6119,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Roscommon,0
6120,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Sligo,0
