,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,Licensing Authority,UNIT,VALUE
13282,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Cork,Number,60.0
13283,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Dublin,Number,332.0
13284,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,All licensing authorities,Number,381.0
13285,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Carlow,Number,1.0
13286,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Cavan,Number,1.0
13287,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Clare,Number,2.0
13288,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Donegal,Number,3.0
13289,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Galway,Number,5.0
13290,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Kerry,Number,10.0
13291,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Kildare,Number,12.0
13292,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Kilkenny,Number,5.0
13293,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Laois,Number,0.0
13294,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Leitrim,Number,1.0
13295,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Longford,Number,0.0
13296,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Louth,Number,6.0
13297,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Mayo,Number,8.0
13298,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Meath,Number,17.0
13299,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Monaghan,Number,1.0
13300,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Offaly,Number,1.0
13301,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Roscommon,Number,4.0
13302,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Sligo,Number,1.0
13303,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Westmeath,Number,6.0
13304,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Wexford,Number,7.0
13305,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Wicklow,Number,10.0
13306,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Limerick,Number,9.0
13307,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Waterford,Number,20.0
